DATE,MEHOINUSNYA672N
1/1/00,58160
1/1/01,58451
1/1/02,57342
1/1/03,57167
1/1/04,58084
1/1/05,59361
1/1/06,58772
1/1/07,58007
1/1/08,57592
1/1/09,57513
1/1/10,56089
1/1/11,55309
1/1/12,51000
1/1/13,52665
1/1/14,56290
1/1/15,60017
1/1/16,62758
1/1/17,62447
