DATE,PCRGMP35620
2001-01-01,61229
2002-01-01,60917
2003-01-01,61018
2004-01-01,62720
2005-01-01,65318
2006-01-01,67249
2007-01-01,68073
2008-01-01,65711
2009-01-01,65564
2010-01-01,67433
2011-01-01,67072
2012-01-01,68562
2013-01-01,68289
2014-01-01,69146
2015-01-01,70215
2016-01-01,70314
2017-01-01,71084
